"State","NewYearDay","Epiphany","ShroveMonday","Carnival/ShroveTuesday","Carnival/AshWednesday","ValentinesDay","MarchEquinox","PalmSunday","MaundyThursday","GoodFriday","EasterMonday","MayDay","AscensionDay","MothersDay","WhitMonday","CorpusChristi","JuneSolstice","PeaceFestival","AssumptionOfMary","SeptemberEquinox","GermanUnity","ReformationDay","Halloween","AllSaintsDay","StMartinsDay","NationalDayOfMourning","RepentanceDay","SundayOfTheDead","FirstSundayAdvent","SaintNicholasDay","DecemberSolstice","ChristmasEve","ChristmasDay","BoxingDay","NewYearEve"
"BE","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16",,"2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"BW","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01","2012-01-06,2013-01-06,2014-01-06,2015-01-06,2016-01-06","2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-11-01,2013-11-01,2014-11-01,2015-11-01,2016-11-01","2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"BY","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01","2012-01-06,2013-01-06,2014-01-06,2015-01-06,2016-01-06","2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20","2012-08-08,2013-08-08,2014-08-08,2015-08-08,2016-08-08","2012-08-15,2013-08-15,2014-08-15,2015-08-15,2016-08-15","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-11-01,2013-11-01,2014-11-01,2015-11-01,2016-11-01","2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"HB,NI","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16",,"2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"HE","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"HH","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16",,"2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"NW","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-11-01,2013-11-01,2014-11-01,2015-11-01,2016-11-01","2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"RP","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-11-01,2013-11-01,2014-11-01,2015-11-01,2016-11-01","2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"SH","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16",,"2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03",,"2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"SN","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03","2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13","2012-11-21,2013-11-20,2014-11-19,2015-11-18,2016-11-16","2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"ST","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01","2012-01-06,2013-01-06,2014-01-06,2015-01-06,2016-01-06","2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16",,"2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03","2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31",,"2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"
"TH","2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01",,"2012-02-20,2013-02-11,2014-03-03,2015-02-16,2016-02-08","2012-02-21,2013-02-12,2014-03-04,2015-02-17,2016-02-09","2012-02-22,2013-02-13,2014-03-05,2015-02-18,2016-02-10","2012-02-14,2013-02-14,2014-02-14,2015-02-14,2016-02-14","2012-03-20,2013-03-20,2014-03-20,2015-03-20,2016-03-20","2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20","2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24","2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25","2012-04-09,2013-04-01,2014-04-21,2015-04-06,2016-03-28","2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01","2012-05-17,2013-05-09,2014-05-29,2015-05-14,2016-05-05","2012-05-13,2013-05-12,2014-05-11,2015-05-10,2016-05-08","2012-05-28,2013-05-20,2014-06-09,2015-05-25,2016-05-16","2015-05-25,2016-05-16","2012-06-20,2013-06-21,2014-06-21,2015-06-21,2016-06-20",,"","2012-09-22,2013-09-22,2014-09-23,2015-09-23,2016-09-22","2012-10-03,2013-10-03,2014-10-03,2015-10-03,2016-10-03","2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2012-10-31,2013-10-31,2014-10-31,2015-10-31,2016-10-31","2015-11-01,2016-11-01","2012-11-11,2013-11-11,2014-11-11,2015-11-11,2016-11-11","2012-11-18,2013-11-17,2014-11-16,2015-11-15,2016-11-13",,"2012-11-25,2013-11-24,2014-11-23,2015-11-22,2016-11-20","2012-12-02,2013-12-01,2014-11-30,2015-11-29,2016-11-27","2012-12-06,2013-12-06,2014-12-06,2015-12-06,2016-12-06","2012-12-21,2013-12-21,2014-12-21,2015-12-22,2016-12-21","2012-12-24,2013-12-24,2014-12-24,2015-12-24,2016-12-24","2012-12-25,2013-12-25,2014-12-25,2015-12-25,2016-12-25","2012-12-26,2013-12-26,2014-12-26,2015-12-26,2016-12-26","2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31"